student_id, scoala, math, limba romana, limba materna, medie, media materna
B10131375, Liceul Teoretic "Ion Barbu", 7.35, 7.50, -, 7.42, 0
B10131422, Școala Gimnazială "Șerban-Vodă", 6.20, 4.00, -, 5.1, 0
B10131574, Liceul Pedagogic "Anastasia Popescu", 9.50, 9.90, -, 9.7, 0
B10131907, Colegiul Naţional "Mihai Eminescu", 8.35, 8.10, -, 8.22, 0
B10131939, Liceul Teoretic "Ion Barbu", 8.45, 8.40, -, 8.43, 0
B10131982, Liceul Teoretic "Ion Barbu", 9.50, 8.60, -, 9.05, 0
B10132020, Liceul Teoretic "Ion Barbu", 9.50, 9.55, -, 9.53, 0
B10132083, Liceul Teoretic "Ion Barbu", 6.60, 7.50, -, 7.05, 0
B10132102, Liceul Teoretic "Ion Barbu", 9.70, 9.40, -, 9.55, 0
B10132143, Liceul Teoretic "Ion Barbu", 9.55, 9.35, -, 9.45, 0
B10132158, Liceul Teoretic "Ion Barbu", 9.70, 9.50, -, 9.6, 0
B10132254, Liceul Teoretic "Ion Barbu", 8.35, 7.55, -, 7.95, 0
B10132276, Liceul Teoretic "Ion Barbu", 8.65, 8.95, -, 8.8, 0
B10132310, Liceul Teoretic "Ion Barbu", 9.70, 9.55, -, 9.62, 0
B10132352, Liceul Teoretic "Ion Barbu", 8.35, 9.10, -, 8.72, 0
B10157242, Şcoala Gimnazială nr. 150, 5.75, 4.20, -, 4.97, 0
B10166619, Liceul Teoretic "Ion Barbu", 9.60, 9.20, -, 9.4, 0
B10167261, Şcoala Gimnazială nr. 184, 7.70, 4.95, -, 6.33, 0
B10265632, Școala Gimnazială "Avram Iancu", 8.60, 7.40, -, 8.0, 0
B10268094, Liceul Teoretic "Eugen Lovinescu", 8.40, 7.50, -, 7.95, 0
B10268191, Școala Gimnazială "Liviu Rebreanu", 6.40, 5.25, -, 5.83, 0
B10269285, Şcoala Gimnazială "Sfântul Andrei", 5.80, 6.30, -, 6.05, 0
B10269525, Şcoala Gimnazială "Sfântul Andrei", 8.55, 7.20, -, 7.88, 0
B10269590, Şcoala Gimnazială nr. 150, 8.30, 8.50, -, 8.4, 0
B10269689, Şcoala Gimnazială nr. 150, 8.45, 7.05, -, 7.75, 0
B10269765, Şcoala Gimnazială nr. 150, 8.90, 9.55, -, 9.23, 0
B10269823, Şcoala Gimnazială nr. 117, 8.50, 8.25, -, 8.38, 0
B10269831, Şcoala Gimnazială nr. 127, 5.00, 5.50, -, 5.25, 0
B10269849, Şcoala Gimnazială "Sfântul Andrei", 9.20, 8.60, -, 8.9, 0
B10270007, Şcoala Gimnazială "Regele Mihai I", 8.15, 7.95, -, 8.05, 0
B10270091, Şcoala Gimnazială "Sfântul Andrei", 8.10, 5.40, -, 6.75, 0
B10270186, Şcoala Gimnazială nr. 117, 6.00, 3.50, -, 4.75, 0
B10270272, Şcoala Gimnazială "Sfântul Andrei", 9.65, 9.20, -, 9.43, 0
B10270390, Şcoala Gimnazială nr. 117, 9.75, 9.10, -, 9.43, 0
B10270396, Şcoala Gimnazială "Sfântul Andrei", 8.30, 6.50, -, 7.4, 0
B10270422, Şcoala Gimnazială nr. 150, 9.05, 9.85, -, 9.45, 0
B10270522, Şcoala Gimnazială "Sfântul Andrei", 9.00, 9.05, -, 9.03, 0
B10270613, Şcoala Gimnazială nr. 156, 9.70, 9.30, -, 9.5, 0
B10270642, Şcoala Gimnazială "Sfântul Andrei", 8.75, 8.20, -, 8.47, 0
B10270677, Şcoala Gimnazială "Constantin Brâncuşi", 8.55, 8.50, -, 8.53, 0
B10270709, Şcoala Gimnazială nr. 150, 8.10, 6.60, -, 7.35, 0
B10270804, Şcoala Gimnazială "Sfântul Andrei", 9.15, 9.50, -, 9.32, 0
B10270824, Şcoala Gimnazială nr. 150, 9.55, 8.40, -, 8.98, 0
B10270942, Școala Gimnazială nr. 112, 6.40, 5.45, -, 5.93, 0
B10271050, Şcoala Gimnazială nr. 150, 8.85, 10.00, -, 9.43, 0
B10271068, Şcoala Gimnazială "Sfântul Andrei", 8.35, 9.30, -, 8.82, 0
B10271173, Şcoala Gimnazială "Pia Brătianu", 9.85, 10.00, -, 9.93, 0
B10271264, Şcoala Gimnazială "Sfântul Andrei", 9.80, 9.90, -, 9.85, 0
B10271461, Şcoala Gimnazială nr. 150, 9.80, 9.15, -, 9.48, 0
B10271489, Colegiul Naţional "Elena Cuza", 9.25, 9.80, -, 9.53, 0
B10271575, Liceul Teoretic "Ion Barbu", 9.10, 9.80, -, 9.45, 0
B10271676, Şcoala Gimnazială "Constantin Brâncuşi", 9.30, 8.35, -, 8.82, 0
B10271696, Şcoala Gimnazială "Sfântul Andrei", 7.65, 9.00, -, 8.32, 0
B10271701, Școala Gimnazială ”Iancului”, 8.05, 7.05, -, 7.55, 0
B10271939, Şcoala Gimnazială "Pia Brătianu", 9.20, 7.30, -, 8.25, 0
B10271950, Şcoala Gimnazială "Sfântul Andrei", 8.75, 8.60, -, 8.68, 0
B10272026, Şcoala Gimnazială nr. 150, 8.95, 9.25, -, 9.1, 0
B10272076, Şcoala Gimnazială "Sfântul Andrei", 9.60, 9.65, -, 9.62, 0
B10272129, Şcoala Gimnazială "Pia Brătianu", 9.35, 8.25, -, 8.8, 0
B10272205, Şcoala Gimnazială "Constantin Brâncuşi", 6.35, 5.95, -, 6.15, 0
B10272213, Şcoala Gimnazială nr. 150, 9.70, 9.95, -, 9.82, 0
B10272414, Şcoala Gimnazială "Sfântul Andrei", 9.70, 9.05, -, 9.38, 0
B10272428, Şcoala Gimnazială nr. 150, 9.25, 10.00, -, 9.62, 0
B10272579, Şcoala Gimnazială "Pia Brătianu", 9.75, 9.40, -, 9.57, 0
B10272592, Şcoala Gimnazială nr. 150, 8.85, 9.45, -, 9.15, 0
B10272722, Şcoala Gimnazială "Constantin Brâncuşi", 9.25, 8.85, -, 9.05, 0
B10272770, Şcoala Gimnazială "Sfântul Andrei", 5.50, 5.00, -, 5.25, 0
B10272836, Școala Gimnazială nr. 79, 9.80, 9.75, -, 9.78, 0
B10272982, Şcoala Gimnazială "Sfântul Andrei", 9.10, 9.40, -, 9.25, 0
B10273006, Şcoala Gimnazială nr. 117, 9.75, 8.50, -, 9.12, 0
B10273007, Colegiul Naţional "Grigore Moisil", 9.50, 10.00, -, 9.75, 0
B10273326, Şcoala Gimnazială nr. 150, 8.55, 9.40, -, 8.98, 0
B10273339, Şcoala Gimnazială nr. 117, 8.75, 7.60, -, 8.18, 0
B10273579, Şcoala Gimnazială nr. 150, 9.25, 9.30, -, 9.28, 0
B10273598, Şcoala Gimnazială nr. 117, 8.25, 9.15, -, 8.7, 0
B10273875, Şcoala Gimnazială "Sfântul Andrei", 8.00, 6.80, -, 7.4, 0
B10273881, Şcoala Gimnazială nr. 150, 9.10, 9.80, -, 9.45, 0
B10274236, Școala Gimnazială nr. 81, 8.70, 7.90, -, 8.3, 0
B10274262, Şcoala Gimnazială "General Eremia Grigorescu", 9.30, 7.30, -, 8.3, 0
B10274299, Şcoala Gimnazială nr. 150, 10.00, 10.00, -, 10.0, 0
B10274407, Școala Gimnazială „Orizont", 8.75, 8.10, -, 8.43, 0
B10274417, Şcoala Gimnazială "Constantin Brâncuşi", 9.20, 9.40, -, 9.3, 0
B10274538, Şcoala Gimnazială nr. 150, 9.10, 9.75, -, 9.43, 0
B10274635, Şcoala Gimnazială nr. 117, 7.65, 8.00, -, 7.83, 0
B10275259, Școala Gimnazială „Orizont", 9.00, 8.10, -, 8.55, 0
B10275288, Şcoala Gimnazială nr. 150, 9.85, 10.00, -, 9.93, 0
B10275848, Colegiul Naţional de Muzică "George Enescu", 5.55, 7.05, -, 6.3, 0
B10275982, Şcoala Gimnazială nr. 150, 9.60, 9.20, -, 9.4, 0
B10276095, Colegiul Naţional "Elena Cuza", 8.90, 9.05, -, 8.98, 0
B10276274, Liceul Teoretic Bilingv ”Ita Wegman”, 8.85, 7.45, -, 8.15, 0
B10276397, Școala Gimnazială "Liviu Rebreanu", 8.00, 7.75, -, 7.88, 0
B10276622, Școala Gimnazială nr. 189, 8.25, 8.80, -, 8.53, 0
